order_id,customer_id,restaurant_name,cuisine,order_date,delivery_time_minutes,order_amount,payment_method,city,order_status,rating
20,22294,Seafood Treats 5 (Ben),Street Food,2025-09-23,36,128.74,Online,Bengaluru,Cancelled,
21,21023,Biryani Treats 6 (Kol),South Indian,2025-04-21,25,184.06,Online,Kolkata,Delivered,3.0
22,14354,Continental Treats 6 (Hyd),Fast Food,2025-08-22,23,306.01,Online,Hyderabad,Delivered,5.0
23,8301,North Treats 2 (Ahm),Desserts,2025-11-12,44,92.66,Online,Ahmedabad,Delivered,5.0
24,7627,South Treats 1 (Pun),Desserts,2025-10-22,51,151.37,Cash,Pune,Delivered,5.0
25,6818,Seafood Treats 2 (Pun),Desserts,2025-06-16,17,241.24,Online,Pune,Delivered,5.0
26,2734,Fast Treats 4 (Hyd),Fast Food,2023-12-02,27,181.98,Online,Hyderabad,Delivered,4.0
27,4318,Chinese Treats 1 (Del),North Indian,2025-06-26,33,466.91,Cash,Delhi,Delivered,3.0
28,14814,Italian Treats 1 (Ben),Biryani,2025-05-15,26,365.25,Online,Bengaluru,Delivered,4.0
29,19836,Urban Bites (Hyd),Desserts,2025-10-26,34,118.26,Online,Hyderabad,Delivered,5.0
30,19489,North Treats 2 (Ahm),Chinese,2025-01-17,28,362.44,Cash,Ahmedabad,Delivered,5.0
31,17948,Biryani Treats 1 (Ben),South Indian,2024-11-26,28,139.66,Cash,Bengaluru,Delivered,5.0
32,8531,Chinese Treats 5 (Pun),North Indian,2025-05-13,27,479.51,Online,Pune,Delivered,5.0
33,20798,Biryani Treats 1 (Mum),North Indian,2025-09-30,35,326.5,Online,Mumbai,Delivered,4.0
34,9875,Fast Treats 3 (Che),Street Food,2025-06-10,29,171.46,Cash,Chennai,Delivered,4.0
35,5345,Foodie Plaza (Ahm),Seafood,2025-06-24,38,360.67,Cash,Ahmedabad,Delivered,3.0
36,2343,North Treats 5 (Hyd),Biryani,2024-12-19,31,411.89,Online,Hyderabad,Cancelled,
37,21562,Continental Treats 6 (Hyd),Fast Food,2024-04-08,29,237.0,Cash,Hyderabad,Delivered,3.0
38,23819,South Treats 3 (Che),Seafood,2025-09-19,17,596.56,Online,Chennai,Delivered,5.0
39,1553,Street Treats 5 (Ahm),Fast Food,2025-06-16,45,65.87,Online,Ahmedabad,Delivered,5.0
40,18830,Street Treats 5 (Mum),Street Food,2025-07-20,25,155.2,Online,Mumbai,Delivered,4.0
41,7796,Chinese Treats 3 (Ben),Street Food,2024-07-11,42,179.7,Cash,Bengaluru,Delivered,4.0
42,5294,Italian Treats 4 (Pun),Biryani,2025-10-07,38,289.83,Online,Pune,Delivered,4.0
43,22149,South Treats 4 (Che),Fast Food,2024-11-05,11,50.0,Cash,Chennai,Delivered,3.0
44,14581,Street Treats 3 (Ben),Street Food,2025-05-26,21,145.38,Online,Bengaluru,Delivered,4.0
45,10457,Chinese Treats 5 (Pun),Italian,2025-09-07,26,713.58,Cash,Pune,Delivered,5.0
46,24781,Desserts Treats 2 (Mum),Seafood,2024-10-11,38,395.4,Cash,Mumbai,Cancelled,
47,15140,Continental Treats 4 (Del),Seafood,2025-11-25,39,448.6,Cash,Delhi,Delivered,5.0
48,12320,Italian Treats 1 (Ben),Street Food,2024-11-28,37,50.28,Online,Bengaluru,Delivered,4.0
49,21986,Desserts Treats 4 (Che),Biryani,2023-12-02,10,151.01,Cash,Chennai,Cancelled,
50,25436,Desserts Treats 2 (Del),North Indian,2024-09-26,28,480.69,Cash,Delhi,Delivered,5.0
51,13622,Continental Treats 6 (Hyd),Italian,2025-11-24,27,753.6,Online,Hyderabad,Delivered,4.0
52,22956,North Treats 5 (Hyd),Street Food,2024-06-13,27,132.22,Online,Hyderabad,Delivered,4.0
53,6937,Street Treats 2 (Kol),Street Food,2025-11-30,32,166.55,Online,Kolkata,Delivered,4.0
54,1532,Fast Treats 3 (Mum),Desserts,2025-10-16,34,148.28,Online,Mumbai,Delivered,4.0
55,18811,Desserts Treats 6 (Pun),Italian,2023-12-02,10,275.91,Cash,Pune,Delivered,4.0
56,18384,Desserts Treats 4 (Pun),Fast Food,2025-10-19,38,139.77,Online,Pune,Cancelled,
57,24486,Desserts Treats 6 (Kol),Continental,2023-12-02,16,353.97,Online,Kolkata,Delivered,4.0
58,19870,Biryani Treats 3 (Kol),Chinese,2024-11-15,18,378.41,Online,Kolkata,Delivered,5.0
59,23012,Urban Bites (Del),Italian,2025-07-05,45,608.61,Online,Delhi,Delivered,3.0
60,12157,Street Treats 6 (Kol),Fast Food,2025-06-06,21,90.69,Online,Kolkata,Delivered,5.0
61,28771,Biryani Treats 3 (Hyd),North Indian,2025-01-11,39,492.97,Online,Hyderabad,Delivered,5.0
62,15215,South Treats 2 (Del),Street Food,2025-08-24,23,115.24,Online,Delhi,Delivered,4.0
63,8025,Biryani Treats 3 (Del),Italian,2024-09-30,30,428.36,Online,Delhi,Delivered,4.0
64,2334,Desserts Treats 6 (Ben),Biryani,2025-04-27,28,469.32,Online,Bengaluru,Delivered,5.0
65,19343,Italian Treats 2 (Kol),Chinese,2025-08-02,32,178.75,Online,Kolkata,Delivered,5.0
66,11409,Chinese Treats 5 (Ben),Desserts,2023-12-02,23,137.88,Online,Bengaluru,Delivered,3.0
67,9220,Chinese Treats 5 (Pun),North Indian,2025-10-25,38,435.44,Cash,Pune,Delivered,5.0
68,21561,Chinese Treats 6 (Hyd),South Indian,2025-07-14,42,316.62,Cash,Hyderabad,Delivered,5.0
69,4611,Chinese Treats 6 (Che),Seafood,2025-05-21,28,673.55,Online,Chennai,Delivered,5.0
70,9643,Seafood Treats 1 (Pun),Desserts,2025-03-07,30,182.36,Cash,Pune,Delivered,4.0
71,5869,Seafood Treats 3 (Ahm),Fast Food,2024-08-15,27,181.98,Online,Ahmedabad,Delivered,3.0
72,19214,Italian Treats 4 (Pun),North Indian,2024-05-05,33,50.0,Online,Pune,Delivered,3.0
73,12644,Biryani Treats 5 (Ahm),Street Food,2025-09-03,35,109.25,Cash,Ahmedabad,Delivered,4.0
74,7990,Continental Treats 4 (Del),Street Food,2025-02-06,46,103.76,Online,Delhi,Delivered,5.0
75,7482,Chinese Treats 6 (Hyd),Italian,2025-07-14,23,409.56,Cash,Hyderabad,Delivered,5.0
76,17656,Seafood Treats 3 (Kol),South Indian,2025-07-28,34,230.46,Online,Kolkata,Delivered,5.0
77,8890,Seafood Treats 6 (Che),Street Food,2025-03-31,23,82.63,Online,Chennai,Cancelled,
78,27756,Italian Treats 4 (Kol),South Indian,2025-02-07,22,195.05,Cash,Kolkata,Delivered,5.0
79,21663,Seafood Treats 2 (Hyd),Biryani,2025-02-26,24,336.85,Online,Hyderabad,Delivered,5.0
80,4778,Seafood Treats 4 (Hyd),Street Food,2025-06-06,20,107.94,Cash,Hyderabad,Delivered,4.0
81,17821,Fast Treats 2 (Kol),Biryani,2024-12-13,22,219.43,Cash,Kolkata,Delivered,4.0
82,19388,Desserts Treats 4 (Che),Street Food,2024-10-29,42,139.46,Online,Chennai,Cancelled,
83,17629,Seafood Treats 3 (Mum),Italian,2024-09-18,50,271.81,Online,Mumbai,Delivered,4.0
84,5529,Fast Treats 6 (Kol),Street Food,2025-06-02,40,173.36,Online,Kolkata,Cancelled,
85,29522,Italian Treats 6 (Del),Seafood,2025-04-30,33,542.36,Cash,Delhi,Delivered,4.0
86,9311,Seafood Treats 4 (Mum),Fast Food,2025-02-22,23,158.77,Online,Mumbai,Cancelled,
87,20540,Foodie Plaza (Kol),Continental,2025-04-17,21,418.75,Cash,Kolkata,Delivered,4.0
88,16266,Biryani Treats 1 (Kol),South Indian,2025-10-31,16,149.54,Online,Kolkata,Delivered,4.0
89,26762,South Treats 4 (Kol),Continental,2024-07-08,29,403.06,Cash,Kolkata,Delivered,3.0
90,25042,South Treats 6 (Che),Continental,2025-10-21,16,201.14,Online,Chennai,Delivered,3.0
91,24119,Continental Treats 3 (Ahm),Street Food,2025-01-31,42,113.38,Online,Ahmedabad,Delivered,4.0
92,5372,Desserts Treats 5 (Ben),Chinese,2025-10-06,30,342.96,Online,Bengaluru,Delivered,5.0
93,10932,South Treats 6 (Hyd),Biryani,2025-01-14,27,412.8,Online,Hyderabad,Delivered,5.0
94,20183,North Treats 6 (Che),Fast Food,2024-05-13,21,198.07,Online,Chennai,Delivered,4.0
95,23545,North Treats 1 (Kol),North Indian,2025-10-25,28,296.57,Cash,Kolkata,Delivered,4.0
96,19572,North Treats 1 (Ben),Desserts,2025-07-31,26,250.44,Online,Bengaluru,Delivered,3.0
97,8366,Seafood Treats 6 (Che),Desserts,2024-10-10,30,135.03,Online,Chennai,Cancelled,
98,26832,North Treats 5 (Mum),Italian,2024-12-29,37,736.62,Online,Mumbai,Delivered,3.0
99,16490,North Treats 5 (Pun),Street Food,2024-08-29,25,50.0,Online,Pune,Delivered,4.0
100,25310,Foodie Plaza (Mum),Italian,2025-11-11,22,290.97,Online,Mumbai,Delivered,5.0
101,3079,Chinese Treats 3 (Pun),Fast Food,2024-07-10,27,147.06,Online,Pune,Delivered,4.0
102,27640,Street Treats 4 (Ben),Desserts,2025-07-12,32,149.81,Online,Bengaluru,Cancelled,
103,8786,Continental Treats 6 (Hyd),Italian,2025-09-20,32,569.94,Online,Hyderabad,Delivered,5.0
104,20854,Fast Treats 3 (Che),North Indian,2025-08-21,38,358.21,Online,Chennai,Delivered,4.0
105,21146,Chinese Treats 2 (Kol),Street Food,2023-12-02,26,162.79,Online,Kolkata,Delivered,3.0
106,19231,Italian Treats 4 (Ahm),Continental,2024-12-12,34,350.22,Cash,Ahmedabad,Delivered,5.0
107,29004,Continental Treats 3 (Ben),Continental,2025-11-19,22,566.48,Online,Bengaluru,Delivered,5.0
108,14331,Fast Treats 4 (Pun),Continental,2024-11-11,33,413.72,Cash,Pune,Delivered,5.0
109,27230,Desserts Treats 5 (Ben),Continental,2025-11-11,16,327.89,Online,Bengaluru,Delivered,4.0
110,7451,Street Treats 2 (Pun),South Indian,2025-07-03,32,332.14,Online,Pune,Cancelled,
111,20770,Fast Treats 5 (Che),North Indian,2025-09-10,27,381.94,Cash,Chennai,Delivered,3.0
112,15567,Continental Treats 6 (Ben),Continental,2025-10-05,27,365.35,Online,Bengaluru,Delivered,4.0
113,20279,Fast Treats 1 (Mum),Desserts,2025-05-17,28,190.84,Cash,Mumbai,Delivered,5.0
114,4405,Street Treats 5 (Mum),Fast Food,2025-04-18,28,284.48,Cash,Mumbai,Delivered,5.0
115,15792,Seafood Treats 1 (Ahm),North Indian,2025-10-30,45,492.05,Online,Ahmedabad,Delivered,5.0
116,26975,Biryani Treats 6 (Che),North Indian,2025-06-28,30,475.92,Online,Chennai,Delivered,4.0
117,18890,Fast Treats 3 (Hyd),Continental,2025-05-10,20,635.6,Online,Hyderabad,Delivered,3.0
118,22834,Chinese Treats 6 (Ben),Fast Food,2025-03-05,25,185.31,Cash,Bengaluru,Delivered,5.0
119,10377,Italian Treats 6 (Ben),South Indian,2024-05-31,19,176.5,Cash,Bengaluru,Delivered,5.0
120,28166,Desserts Treats 2 (Pun),Continental,2025-05-25,24,582.17,Cash,Pune,Delivered,5.0
121,23607,Desserts Treats 6 (Pun),Chinese,2025-08-20,34,223.8,Online,Pune,Delivered,5.0
122,12260,Foodie Plaza (Hyd),Continental,2025-08-20,35,308.93,Cash,Hyderabad,Delivered,3.0
123,23060,Chinese Treats 1 (Pun),North Indian,2025-04-30,35,341.95,Online,Pune,Delivered,4.0
124,21267,Chinese Treats 5 (Hyd),Street Food,2025-08-19,37,116.26,Cash,Hyderabad,Delivered,4.0
125,18222,Continental Treats 6 (Mum),Continental,2025-11-10,45,449.42,Online,Mumbai,Delivered,4.0
126,27052,Biryani Treats 4 (Mum),Seafood,2025-08-30,19,481.73,Online,Mumbai,Delivered,4.0
127,20746,Continental Treats 3 (Hyd),Continental,2025-09-23,43,658.01,Online,Hyderabad,Delivered,5.0
128,13631,Biryani Treats 1 (Del),Street Food,2025-09-04,21,173.31,Cash,Delhi,Delivered,4.0
129,25373,Continental Treats 2 (Ben),Italian,2025-10-23,28,366.29,Online,Bengaluru,Delivered,5.0
130,7538,South Treats 5 (Del),Fast Food,2025-01-06,39,114.36,Cash,Delhi,Delivered,4.0
131,10333,Continental Treats 4 (Ben),Biryani,2025-08-09,37,219.37,Online,Bengaluru,Delivered,4.0
132,15814,Biryani Treats 2 (Kol),Continental,2025-10-25,23,340.49,Online,Kolkata,Delivered,3.0
133,22861,Street Treats 3 (Ben),Desserts,2025-11-17,29,109.07,Cash,Bengaluru,Delivered,4.0
134,1465,Fast Treats 1 (Che),Street Food,2025-10-18,31,187.73,Cash,Chennai,Delivered,3.0
135,16321,Desserts Treats 6 (Del),Chinese,2024-11-11,42,298.58,Cash,Delhi,Delivered,3.0
136,2056,Italian Treats 4 (Kol),Chinese,2025-01-10,14,107.48,Online,Kolkata,Delivered,4.0
137,21122,Seafood Treats 4 (Kol),Desserts,2025-01-07,35,144.98,Online,Kolkata,Delivered,4.0
138,1017,Desserts Treats 1 (Hyd),Continental,2025-09-27,19,425.16,Online,Hyderabad,Cancelled,
139,10051,Chinese Treats 1 (Ahm),Fast Food,2025-01-25,39,275.69,Cash,Ahmedabad,Delivered,4.0
140,8006,Continental Treats 2 (Mum),Street Food,2024-12-29,27,176.14,Cash,Mumbai,Delivered,4.0
141,19962,Chinese Treats 4 (Pun),Chinese,2024-08-29,28,138.37,Cash,Pune,Delivered,4.0
142,15503,Italian Treats 6 (Che),North Indian,2025-02-27,40,316.41,Cash,Chennai,Delivered,4.0
143,17605,Desserts Treats 4 (Che),North Indian,2025-07-25,25,315.92,Online,Chennai,Delivered,4.0
144,2044,South Treats 1 (Che),Continental,2025-10-22,31,460.33,Online,Chennai,Delivered,5.0
145,16705,Continental Treats 6 (Del),Street Food,2025-10-28,34,106.77,Cash,Delhi,Delivered,5.0
146,23373,Continental Treats 5 (Che),South Indian,2025-08-23,27,219.61,Online,Chennai,Delivered,5.0
147,24009,Italian Treats 3 (Pun),Chinese,2025-06-10,20,76.93,Online,Pune,Delivered,3.0
148,20755,Chinese Treats 1 (Kol),Desserts,2024-08-28,23,145.36,Cash,Kolkata,Delivered,4.0
149,18755,Chinese Treats 3 (Hyd),North Indian,2025-04-22,37,295.94,Online,Hyderabad,Delivered,5.0
150,19049,Continental Treats 4 (Che),Chinese,2025-08-26,52,307.48,Online,Chennai,Delivered,4.0
151,9830,Desserts Treats 1 (Del),Street Food,2025-10-04,35,80.91,Online,Delhi,Delivered,3.0
152,19783,North Treats 6 (Ahm),Biryani,2025-10-20,26,404.49,Cash,Ahmedabad,Delivered,5.0
153,9602,Desserts Treats 5 (Mum),South Indian,2025-10-11,30,138.15,Online,Mumbai,Delivered,4.0
154,6154,North Treats 3 (Hyd),Seafood,2023-12-02,12,629.3,Cash,Hyderabad,Cancelled,
155,6526,Street Treats 4 (Kol),Street Food,2025-11-09,26,169.77,Online,Kolkata,Delivered,4.0
156,9596,Street Treats 4 (Hyd),Desserts,2025-06-18,17,191.6,Cash,Hyderabad,Delivered,4.0
157,24941,Seafood Treats 1 (Ahm),Continental,2025-07-06,39,405.19,Online,Ahmedabad,Delivered,4.0
158,6209,South Treats 3 (Kol),Seafood,2025-11-29,22,671.68,Cash,Kolkata,Delivered,4.0
159,9335,Chinese Treats 1 (Mum),South Indian,2024-08-24,15,149.41,Online,Mumbai,Delivered,4.0
160,11412,South Treats 4 (Ahm),Desserts,2024-02-05,24,159.1,Online,Ahmedabad,Delivered,5.0
161,27497,Street Treats 4 (Pun),Biryani,2025-02-22,22,331.15,Cash,Pune,Delivered,4.0
162,29325,Urban Bites (Ben),Italian,2025-10-25,35,473.61,Online,Bengaluru,Delivered,5.0
163,28191,Biryani Treats 4 (Del),Chinese,2025-11-04,40,394.57,Online,Delhi,Delivered,3.0
164,10877,Italian Treats 3 (Mum),Italian,2025-01-20,29,664.98,Cash,Mumbai,Delivered,5.0
165,21645,Chinese Treats 2 (Che),Fast Food,2025-09-19,30,187.84,Online,Chennai,Delivered,4.0
166,18725,Italian Treats 2 (Pun),North Indian,2025-11-18,18,103.27,Online,Pune,Cancelled,
167,18526,Spice Hub (Pun),Italian,2025-08-25,15,679.33,Online,Pune,Delivered,5.0
168,2536,Italian Treats 5 (Mum),Italian,2025-05-29,29,471.21,Online,Mumbai,Cancelled,
169,19005,Seafood Treats 4 (Pun),Italian,2023-12-02,21,256.37,Cash,Pune,Delivered,5.0
170,9343,Desserts Treats 1 (Pun),Desserts,2025-09-01,29,155.73,Online,Pune,Delivered,4.0
171,14461,Italian Treats 4 (Pun),Street Food,2025-08-03,32,107.91,Cash,Pune,Delivered,3.0
172,17118,Seafood Treats 4 (Che),Desserts,2024-12-05,39,73.28,Online,Chennai,Delivered,4.0
173,18214,Biryani Treats 1 (Che),Fast Food,2024-10-22,39,248.19,Online,Chennai,Delivered,4.0
174,13616,South Treats 3 (Mum),Continental,2025-05-17,25,601.48,Cash,Mumbai,Delivered,4.0
175,4668,Continental Treats 2 (Mum),Continental,2025-03-22,25,476.55,Online,Mumbai,Delivered,5.0
176,2464,Biryani Treats 5 (Mum),Seafood,2023-12-02,35,550.97,Cash,Mumbai,Delivered,4.0
177,3366,Desserts Treats 4 (Del),Chinese,2025-10-15,28,176.71,Online,Delhi,Delivered,3.0
178,23476,Chinese Treats 2 (Ahm),Seafood,2024-01-05,40,384.75,Online,Ahmedabad,Cancelled,
179,12342,South Treats 3 (Kol),North Indian,2025-03-28,30,288.0,Cash,Kolkata,Delivered,5.0
180,7511,Chinese Treats 1 (Kol),South Indian,2024-11-30,32,240.1,Cash,Kolkata,Cancelled,
181,22843,Seafood Treats 3 (Del),Street Food,2025-09-11,32,129.22,Online,Delhi,Cancelled,
182,19204,Fast Treats 1 (Ahm),Seafood,2024-02-25,31,515.59,Online,Ahmedabad,Delivered,5.0
183,5396,South Treats 2 (Che),Continental,2025-03-06,29,517.1,Cash,Chennai,Delivered,2.0
184,8551,Biryani Treats 1 (Mum),Desserts,2024-11-25,14,200.75,Online,Mumbai,Delivered,3.0
185,15374,Seafood Treats 4 (Hyd),Italian,2024-07-02,37,251.36,Online,Hyderabad,Delivered,4.0
186,6933,Seafood Treats 6 (Ben),Desserts,2024-10-16,20,112.3,Online,Bengaluru,Delivered,5.0
187,25359,Fast Treats 5 (Ben),Fast Food,2024-12-31,19,239.87,Online,Bengaluru,Delivered,5.0
188,16902,Continental Treats 3 (Kol),Biryani,2025-10-23,29,142.0,Online,Kolkata,Delivered,3.0
189,13150,Continental Treats 5 (Pun),Street Food,2023-12-02,34,94.1,Cash,Pune,Delivered,4.0
190,6629,Street Treats 6 (Ahm),Biryani,2025-10-23,31,282.5,Online,Ahmedabad,Delivered,5.0
191,17888,Fast Treats 4 (Pun),Chinese,2024-10-23,24,479.26,Cash,Pune,Delivered,3.0
192,27784,South Treats 6 (Ahm),North Indian,2025-07-17,31,235.75,Online,Ahmedabad,Delivered,4.0
193,8145,Desserts Treats 1 (Pun),Continental,2023-12-04,23,476.57,Online,Pune,Delivered,4.0
194,19172,Street Treats 6 (Che),Italian,2024-05-01,28,680.11,Online,Chennai,Delivered,5.0
195,7529,Chinese Treats 5 (Ben),South Indian,2025-10-16,20,176.02,Online,Bengaluru,Delivered,5.0
196,13271,Desserts Treats 4 (Che),Italian,2024-11-26,16,504.19,Online,Chennai,Delivered,3.0
197,6899,North Treats 6 (Ahm),Continental,2024-10-20,29,316.45,Online,Ahmedabad,Delivered,5.0
198,6997,South Treats 6 (Mum),Italian,2024-02-08,36,450.81,Online,Mumbai,Delivered,3.0
199,26499,Street Treats 2 (Kol),South Indian,2025-10-29,39,211.02,Cash,Kolkata,Delivered,4.0
200,2047,Continental Treats 3 (Che),Chinese,2024-09-12,30,198.25,Online,Chennai,Delivered,4.0
201,27608,Italian Treats 2 (Hyd),Italian,2025-03-30,21,96.61,Online,Hyderabad,Delivered,5.0
202,5705,Desserts Treats 1 (Del),Chinese,2025-09-13,44,207.82,Online,Delhi,Delivered,5.0
203,24252,Chinese Treats 1 (Hyd),Fast Food,2025-09-24,30,186.58,Online,Hyderabad,Delivered,3.0
204,22251,Fast Treats 2 (Kol),Italian,2024-10-28,25,198.95,Cash,Kolkata,Delivered,4.0
205,28673,Continental Treats 3 (Ahm),Continental,2023-12-02,45,254.73,Online,Ahmedabad,Delivered,5.0
206,25789,Chinese Treats 4 (Mum),Chinese,2025-06-29,38,224.52,Online,Mumbai,Delivered,4.0
207,2812,Desserts Treats 2 (Hyd),Fast Food,2025-04-18,31,212.1,Online,Hyderabad,Delivered,4.0
208,19182,Chinese Treats 2 (Kol),Street Food,2025-11-30,30,128.89,Cash,Kolkata,Cancelled,
209,7257,Street Treats 4 (Ahm),Italian,2025-01-16,42,459.96,Cash,Ahmedabad,Delivered,4.0
210,12640,North Treats 3 (Ben),Desserts,2025-02-18,16,198.88,Online,Bengaluru,Delivered,4.0
211,10782,Desserts Treats 4 (Che),Italian,2023-12-02,37,403.09,Online,Chennai,Delivered,5.0
212,6968,Street Treats 4 (Hyd),Italian,2024-09-12,36,655.03,Online,Hyderabad,Delivered,5.0
213,13622,Fast Treats 3 (Ben),South Indian,2023-12-02,38,249.23,Cash,Bengaluru,Delivered,3.0
214,21660,Biryani Treats 1 (Ben),Italian,2024-12-23,42,377.98,Online,Bengaluru,Delivered,5.0
215,12979,Street Treats 5 (Pun),Chinese,2025-11-04,10,272.68,Online,Pune,Delivered,4.0
216,10936,Fast Treats 4 (Hyd),North Indian,2023-12-02,49,382.51,Online,Hyderabad,Delivered,4.0
217,4304,Spice Hub (Pun),Italian,2025-10-17,28,450.83,Cash,Pune,Delivered,3.0
218,25292,Street Treats 3 (Hyd),Fast Food,2023-12-02,23,202.2,Online,Hyderabad,Delivered,4.0
219,10243,Street Treats 6 (Del),Italian,2024-12-12,27,577.47,Online,Delhi,Delivered,5.0
220,18647,Street Treats 1 (Hyd),Desserts,2025-05-16,28,147.49,Cash,Hyderabad,Delivered,3.0
221,23464,Biryani Treats 6 (Mum),Biryani,2025-09-16,24,229.45,Online,Mumbai,Delivered,5.0
222,7727,North Treats 5 (Ben),Street Food,2024-11-24,26,72.1,Online,Bengaluru,Delivered,4.0
223,1210,Street Treats 5 (Ben),Continental,2025-11-23,28,320.92,Online,Bengaluru,Delivered,4.0
224,11120,Fast Treats 4 (Pun),Street Food,2024-07-07,15,162.39,Cash,Pune,Delivered,5.0
225,7917,Urban Bites (Che),Italian,2023-11-29,43,372.72,Online,Chennai,Delivered,5.0
226,9173,Seafood Treats 6 (Mum),Chinese,2024-06-22,42,276.38,Online,Mumbai,Delivered,5.0
227,8896,Italian Treats 6 (Pun),Italian,2025-05-23,18,299.81,Cash,Pune,Delivered,4.0
228,24993,Fast Treats 6 (Kol),Italian,2025-10-21,21,431.91,Cash,Kolkata,Delivered,5.0
229,7805,Chinese Treats 5 (Mum),North Indian,2025-06-16,33,155.18,Online,Mumbai,Delivered,5.0
230,19488,Biryani Treats 4 (Kol),Continental,2025-10-11,23,520.51,Online,Kolkata,Delivered,2.0
231,24345,Seafood Treats 1 (Ahm),Biryani,2025-02-24,45,215.97,Online,Ahmedabad,Delivered,5.0
232,7236,Fast Treats 5 (Mum),South Indian,2025-08-10,32,155.29,Online,Mumbai,Delivered,4.0
233,26886,Desserts Treats 4 (Pun),Biryani,2025-11-29,21,452.57,Online,Pune,Delivered,5.0
234,6270,Seafood Treats 4 (Kol),Chinese,2025-07-17,29,357.14,Online,Kolkata,Delivered,4.0
235,4780,Chinese Treats 3 (Hyd),Italian,2023-12-02,25,557.99,Online,Hyderabad,Delivered,3.0
236,9690,Chinese Treats 2 (Mum),Seafood,2025-11-18,33,363.96,Online,Mumbai,Delivered,4.0
237,11846,North Treats 2 (Kol),Seafood,2025-06-30,15,621.79,Online,Kolkata,Delivered,4.0
238,7183,Seafood Treats 5 (Pun),Continental,2025-04-23,20,420.31,Online,Pune,Delivered,3.0
239,5207,North Treats 4 (Ahm),Desserts,2025-09-10,36,146.22,Cash,Ahmedabad,Delivered,4.0
240,11904,Biryani Treats 4 (Mum),South Indian,2025-04-14,23,239.73,Online,Mumbai,Delivered,4.0
241,22292,South Treats 3 (Pun),Fast Food,2025-05-30,25,152.14,Online,Pune,Delivered,4.0
242,2280,Fast Treats 4 (Ahm),Biryani,2025-07-26,55,292.3,Online,Ahmedabad,Delivered,4.0
243,14207,Biryani Treats 3 (Mum),Italian,2025-02-14,52,741.71,Online,Mumbai,Cancelled,
244,10284,Street Treats 6 (Ahm),North Indian,2025-07-05,34,458.06,Online,Ahmedabad,Delivered,5.0
245,13554,Seafood Treats 5 (Pun),Continental,2025-05-10,21,577.11,Cash,Pune,Delivered,5.0
246,9923,Continental Treats 6 (Ahm),Chinese,2024-04-12,34,266.11,Cash,Ahmedabad,Delivered,4.0
247,26465,Chinese Treats 2 (Che),North Indian,2023-12-02,26,168.46,Online,Chennai,Delivered,5.0
248,3310,South Treats 3 (Ben),Chinese,2025-11-15,34,225.35,Cash,Bengaluru,Delivered,3.0
249,19887,Fast Treats 1 (Hyd),Seafood,2025-01-27,36,524.68,Online,Hyderabad,Delivered,4.0
250,12571,North Treats 1 (Ahm),Desserts,2025-11-19,15,93.86,Online,Ahmedabad,Delivered,5.0
251,27135,Desserts Treats 1 (Hyd),Chinese,2024-12-08,14,134.99,Cash,Hyderabad,Delivered,5.0
252,4621,Seafood Treats 4 (Hyd),Italian,2025-09-01,15,800.58,Online,Hyderabad,Delivered,1.0
